Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Week of 2025-06-02,2025-06-02,2025-06-08,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,8306.96,373,369,22.27,1026.68,402.32,1937.73,18.00,138.62,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4030.79,173,171,23.30,494.65,165.62,801.41,6.00,35.96,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2401-TURNERSVILLE),946258,5579,2401,5863.62,258,258,22.73,731.38,319.67,1654.62,6.00,20.76,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (4592-OCEAN CITY),659406,5579,4592,2730.35,112,111,24.38,316.74,196.23,1078.05,12.00,73.28,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,12672.81,587,586,21.59,1611.05,614.37,2769.55,15.00,116.02,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (12008-CROSS KEYS),946236,5579,12008,1031.32,51,51,20.22,137.05,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,2013.12,97,97,20.75,270.29,0.00,0.00,6.00,58.20,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (18170-NO WOODBURY),946241,5579,18170,1156.11,61,61,18.95,151.81,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (18576-WINSLOW),946252,5579,18576,906.77,45,45,20.15,132.21,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,1299.56,57,57,22.80,167.95,7.89,19.78,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,462.85,20,20,23.14,61.87,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2401-TURNERSVILLE),946258,5579,2401,519.25,24,24,21.64,64.95,7.89,32.05,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (4592-OCEAN CITY),659406,5579,4592,325.90,14,14,23.28,42.84,7.89,27.77,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1924.55,83,83,23.19,260.42,0.00,0.00,0.00,0.00,USD
